Starting serial version of pi calculation using dartboard algorithm...
   After 10000 throws, average value of pi = 3.15880000
   After 20000 throws, average value of pi = 3.15500000
   After 30000 throws, average value of pi = 3.14080000
   After 40000 throws, average value of pi = 3.14140000
   After 50000 throws, average value of pi = 3.14096000
   After 60000 throws, average value of pi = 3.14306667
   After 70000 throws, average value of pi = 3.14497143
   After 80000 throws, average value of pi = 3.14545000
   After 90000 throws, average value of pi = 3.14715556
   After 100000 throws, average value of pi = 3.14756000
   After 110000 throws, average value of pi = 3.14745455
   After 120000 throws, average value of pi = 3.14593333
   After 130000 throws, average value of pi = 3.14544615
   After 140000 throws, average value of pi = 3.14588571
   After 150000 throws, average value of pi = 3.14728000
   After 160000 throws, average value of pi = 3.14435000
   After 170000 throws, average value of pi = 3.14298824
   After 180000 throws, average value of pi = 3.14340000
   After 190000 throws, average value of pi = 3.14277895
   After 200000 throws, average value of pi = 3.14186000
   After 210000 throws, average value of pi = 3.14224762
   After 220000 throws, average value of pi = 3.14270909
   After 230000 throws, average value of pi = 3.14194783
   After 240000 throws, average value of pi = 3.14265000
   After 250000 throws, average value of pi = 3.14193600
   After 260000 throws, average value of pi = 3.14112308
   After 270000 throws, average value of pi = 3.14088889
   After 280000 throws, average value of pi = 3.14065714
   After 290000 throws, average value of pi = 3.14153103
   After 300000 throws, average value of pi = 3.14104000
   After 310000 throws, average value of pi = 3.14160000
   After 320000 throws, average value of pi = 3.14181250
   After 330000 throws, average value of pi = 3.14220606
   After 340000 throws, average value of pi = 3.14151765
   After 350000 throws, average value of pi = 3.14115429
   After 360000 throws, average value of pi = 3.14183333
   After 370000 throws, average value of pi = 3.14153514
   After 380000 throws, average value of pi = 3.14201053
   After 390000 throws, average value of pi = 3.14183590
   After 400000 throws, average value of pi = 3.14258000
   After 410000 throws, average value of pi = 3.14237073
   After 420000 throws, average value of pi = 3.14239048
   After 430000 throws, average value of pi = 3.14216744
   After 440000 throws, average value of pi = 3.14199091
   After 450000 throws, average value of pi = 3.14219556
   After 460000 throws, average value of pi = 3.14194783
   After 470000 throws, average value of pi = 3.14198298
   After 480000 throws, average value of pi = 3.14204167
   After 490000 throws, average value of pi = 3.14140408
   After 500000 throws, average value of pi = 3.14140800
   After 510000 throws, average value of pi = 3.14138824
   After 520000 throws, average value of pi = 3.14134615
   After 530000 throws, average value of pi = 3.14160000
   After 540000 throws, average value of pi = 3.14165185
   After 550000 throws, average value of pi = 3.14096000
   After 560000 throws, average value of pi = 3.14165000
   After 570000 throws, average value of pi = 3.14185965
   After 580000 throws, average value of pi = 3.14186897
   After 590000 throws, average value of pi = 3.14165424
   After 600000 throws, average value of pi = 3.14188000
   After 610000 throws, average value of pi = 3.14138361
   After 620000 throws, average value of pi = 3.14185806
   After 630000 throws, average value of pi = 3.14184127
   After 640000 throws, average value of pi = 3.14196875
   After 650000 throws, average value of pi = 3.14228308
   After 660000 throws, average value of pi = 3.14241212
   After 670000 throws, average value of pi = 3.14197612
   After 680000 throws, average value of pi = 3.14193529
   After 690000 throws, average value of pi = 3.14224348
   After 700000 throws, average value of pi = 3.14230857
Starting serial version of pi calculation using dartboard algorithm...
   After 10000 throws, average value of pi = 3.15880000
   After 20000 throws, average value of pi = 3.15500000
   After 30000 throws, average value of pi = 3.14080000
   After 40000 throws, average value of pi = 3.14140000
   After 50000 throws, average value of pi = 3.14096000
   After 60000 throws, average value of pi = 3.14306667
   After 70000 throws, average value of pi = 3.14497143
   After 80000 throws, average value of pi = 3.14545000
   After 90000 throws, average value of pi = 3.14715556
   After 100000 throws, average value of pi = 3.14756000
   After 110000 throws, average value of pi = 3.14745455
   After 120000 throws, average value of pi = 3.14593333
   After 130000 throws, average value of pi = 3.14544615
   After 140000 throws, average value of pi = 3.14588571
   After 150000 throws, average value of pi = 3.14728000
   After 160000 throws, average value of pi = 3.14435000
   After 170000 throws, average value of pi = 3.14298824
   After 180000 throws, average value of pi = 3.14340000
   After 190000 throws, average value of pi = 3.14277895
   After 200000 throws, average value of pi = 3.14186000
   After 210000 throws, average value of pi = 3.14224762
